log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward,loss_jacobian_x,loss_jacobian_u
-8510522.0,12.409687042236328,38.49287414550781,-38.49287414550781,-8510522.0,12.409687042236328,38.49287414550781,-38.49287414550781,0.0,0.0,0,6,,,,,,,,,,,
-8510521.0,11.839866638183594,38.53159713745117,-38.53159713745117,-8510521.0,11.839866638183594,38.53159713745117,-38.53159713745117,,,1,13,190.03152465820312,-0.00010144710540771484,-8050146.0,-460375.4375,190.03152465820312,-0.00010144710540771484,-8050146.0,-460375.4375,,,
-8510522.0,10.480881690979004,37.77376174926758,-37.77376174926758,-8510522.0,10.480880737304688,37.77376174926758,-37.77376174926758,,,2,20,,,,,,,,,,,
-8510522.0,11.680126190185547,37.31502914428711,-37.31502914428711,-8510522.0,11.680126190185547,37.31502914428711,-37.31502914428711,,,3,27,,,,,,,,,,,
-8510521.0,11.451244354248047,36.77894592285156,-36.77894592285156,-8510521.0,11.451244354248047,36.77894592285156,-36.77894592285156,,,4,34,,,,,,,,,,,
-8510520.0,11.90185546875,36.868289947509766,-36.868289947509766,-8510520.0,11.90185546875,36.868289947509766,-36.868289947509766,0.0,0.0,5,41,,,,,,,,,,,
-8510522.0,16.300678253173828,36.27281951904297,-36.27281951904297,-8510522.0,16.300678253173828,36.27281951904297,-36.27281951904297,,,6,48,,,,,,,,,,,
,,27.68191909790039,-27.68191909790039,,,,,,,7,49,,,,,,,,,11.166557312011719,,
-8510520.0,14.989376068115234,35.98845672607422,-35.98845672607422,-8510520.0,14.989376068115234,35.98845672607422,-35.98845672607422,,,7,55,,,,,,,,,,,
-8510522.0,13.780592918395996,35.816097259521484,-35.816097259521484,-8510522.0,13.780593872070312,35.816097259521484,-35.816097259521484,,,8,62,,,,,,,,,,,
-8510520.0,12.650489807128906,35.309810638427734,-35.309810638427734,-8510520.0,12.650489807128906,35.309810638427734,-35.309810638427734,,,9,69,,,,,,,,,,,
-8510520.0,13.10110092163086,35.134883880615234,-35.134883880615234,-8510520.0,13.10110092163086,35.134883880615234,-35.134883880615234,0.0,0.0,10,76,,,,,,,,,,,
-8510520.0,11.000633239746094,34.73784637451172,-34.73784637451172,-8510520.0,11.000633239746094,34.73784637451172,-34.73784637451172,,,11,83,198.6098175048828,0.0015121698379516602,-8513201.0,2676.199951171875,198.60983276367188,0.0015121698379516602,-8513201.0,2676.199951171875,,,
-8510521.0,14.410019874572754,34.530113220214844,-34.530113220214844,-8510521.0,14.410018920898438,34.530113220214844,-34.530113220214844,,,12,90,,,,,,,,,,,
-8510521.0,15.697479248046875,34.089900970458984,-34.089900970458984,-8510521.0,15.697479248046875,34.089900970458984,-34.089900970458984,,,13,97,,,,,,,,,,,
,,24.87840461730957,-24.87840461730957,,,,,,,14,99,,,,,,,,,10.000541687011719,,
-8510521.0,14.488697052001953,33.614662170410156,-33.614662170410156,-8510521.0,14.488697052001953,33.614662170410156,-33.614662170410156,,,14,104,,,,,,,,,,,
-8510521.0,13.99993896484375,33.36066818237305,-33.36066818237305,-8510521.0,13.99993896484375,33.36066818237305,-33.36066818237305,0.0,0.0,15,111,,,,,,,,,,,
-8510522.0,12.080669403076172,32.76482009887695,-32.76482009887695,-8510522.0,12.080669403076172,32.76482009887695,-32.76482009887695,,,16,118,,,,,,,,,,,
-8510520.0,14.979839324951172,32.752174377441406,-32.752174377441406,-8510520.0,14.979839324951172,32.752174377441406,-32.752174377441406,,,17,125,,,,,,,,,,,
-8510520.0,13.527870178222656,32.1573600769043,-32.1573600769043,-8510520.0,13.527870178222656,32.1573600769043,-32.1573600769043,,,18,132,,,,,,,,,,,
-8510522.0,10.907649993896484,31.665437698364258,-31.665437698364258,-8510522.0,10.907649993896484,31.665437698364258,-31.665437698364258,,,19,139,,,,,,,,,,,
-8510520.0,11.668205261230469,31.444028854370117,-31.444028854370117,-8510520.0,11.668205261230469,31.444028854370117,-31.444028854370117,0.0,0.0,20,146,,,,,,,,,,,
,,22.56264877319336,-22.56264877319336,,,,,,,21,149,,,,,,,,,9.467824935913086,,
-8510520.0,12.91036605834961,31.067564010620117,-31.067564010620117,-8510520.0,12.91036605834961,31.067564010620117,-31.067564010620117,,,21,153,209.78213500976562,0.004280686378479004,-10001772.0,1491246.875,209.78211975097656,0.004280686378479004,-10001772.0,1491246.875,,,
-8510520.0,16.17908477783203,31.07587242126465,-31.07587242126465,-8510520.0,16.17908477783203,31.07587242126465,-31.07587242126465,,,22,160,,,,,,,,,,,
-8510522.0,11.310577392578125,30.766624450683594,-30.766624450683594,-8510522.0,11.310577392578125,30.766624450683594,-30.766624450683594,,,23,167,,,,,,,,,,,
-8510522.0,12.481212615966797,30.328367233276367,-30.328367233276367,-8510522.0,12.481212615966797,30.328367233276367,-30.328367233276367,,,24,174,,,,,,,,,,,
-8510521.0,10.938645362854004,30.137405395507812,-30.137405395507812,-8510521.0,10.938644409179688,30.137405395507812,-30.137405395507812,0.0,0.0,25,181,,,,,,,,,,,
-8510522.0,11.878013610839844,29.90768051147461,-29.90768051147461,-8510522.0,11.878013610839844,29.90768051147461,-29.90768051147461,,,26,188,,,,,,,,,,,
-8510522.0,12.519359588623047,29.41811752319336,-29.41811752319336,-8510522.0,12.519359588623047,29.41811752319336,-29.41811752319336,,,27,195,,,,,,,,,,,
,,19.964197158813477,-19.964197158813477,,,,,,,28,199,,,,,,,,,10.507181167602539,,
-8510522.0,13.728141784667969,29.484907150268555,-29.484907150268555,-8510522.0,13.728141784667969,29.484907150268555,-29.484907150268555,,,28,202,,,,,,,,,,,
-8510522.0,15.139579772949219,29.083656311035156,-29.083656311035156,-8510522.0,15.139579772949219,29.083656311035156,-29.083656311035156,,,29,209,,,,,,,,,,,
-8510520.0,12.319087982177734,28.56237030029297,-28.56237030029297,-8510520.0,12.319087982177734,28.56237030029297,-28.56237030029297,0.0,0.0,30,216,,,,,,,,,,,
-8510521.0,13.020038604736328,28.52991485595703,-28.52991485595703,-8510521.0,13.020038604736328,28.52991485595703,-28.52991485595703,,,31,223,191.26654052734375,0.008456826210021973,-6116343.0,-2394182.0,191.26654052734375,0.008456826210021973,-6116343.0,-2394182.0,,,
-8510522.0,15.83099365234375,28.188955307006836,-28.188955307006836,-8510522.0,15.83099365234375,28.188955307006836,-28.188955307006836,,,32,230,,,,,,,,,,,
-8510520.0,12.981891632080078,28.043415069580078,-28.043415069580078,-8510520.0,12.981891632080078,28.043415069580078,-28.043415069580078,,,33,237,,,,,,,,,,,
-8510522.0,14.231204986572266,27.70431900024414,-27.70431900024414,-8510522.0,14.231204986572266,27.70431900024414,-27.70431900024414,,,34,244,,,,,,,,,,,
,,18.648845672607422,-18.648845672607422,,,,,,,35,249,,,,,,,,,11.181458473205566,0.0,0.0
-8510521.0,14.660358428955078,27.713417053222656,-27.713417053222656,-8510521.0,14.660358428955078,27.713417053222656,-27.713417053222656,0.0,0.0,35,251,,,,,,,,,,,
-8510520.0,11.489391326904297,27.77277374267578,-27.77277374267578,-8510520.0,11.489391326904297,27.77277374267578,-27.77277374267578,,,36,258,,,,,,,,,,,
-8510520.0,13.310909271240234,27.418298721313477,-27.418298721313477,-8510520.0,13.310909271240234,27.418298721313477,-27.418298721313477,,,37,265,,,,,,,,,,,
-8510522.0,11.777878761291504,27.306455612182617,-27.306455612182617,-8510522.0,11.777877807617188,27.306455612182617,-27.306455612182617,,,38,272,,,,,,,,,,,
-8510520.0,10.991096496582031,27.1367130279541,-27.1367130279541,-8510520.0,10.991096496582031,27.1367130279541,-27.1367130279541,,,39,279,,,,,,,,,,,
-8510522.0,14.469623565673828,26.91092300415039,-26.91092300415039,-8510522.0,14.469623565673828,26.91092300415039,-26.91092300415039,0.0,0.0,40,286,,,,,,,,,,,
-8510521.0,15.518665313720703,26.60736846923828,-26.60736846923828,-8510521.0,15.518665313720703,26.60736846923828,-26.60736846923828,,,41,293,200.5219268798828,0.010229110717773438,-8550910.0,40386.23828125,200.52194213867188,0.010229110717773438,-8550910.0,40386.23828125,,,
,,17.255292892456055,-17.255292892456055,,,,,,,42,299,,,,,,,,,9.96142578125,,
-8510521.0,13.451576232910156,26.590864181518555,-26.590864181518555,-8510521.0,13.451576232910156,26.590864181518555,-26.590864181518555,,,42,300,,,,,,,,,,,
-8510522.0,13.322829246520996,26.320510864257812,-26.320510864257812,-8510522.0,13.322830200195312,26.320510864257812,-26.320510864257812,,,43,307,,,,,,,,,,,
-8510521.0,12.819766998291016,26.106050491333008,-26.106050491333008,-8510521.0,12.819766998291016,26.106050491333008,-26.106050491333008,,,44,314,,,,,,,,,,,
-8510522.0,12.669563293457031,26.042688369750977,-26.042688369750977,-8510522.0,12.669563293457031,26.042688369750977,-26.042688369750977,0.0,0.0,45,321,,,,,,,,,,,
-8510522.0,11.57999038696289,25.960433959960938,-25.960433959960938,-8510522.0,11.57999038696289,25.960433959960938,-25.960433959960938,,,46,328,,,,,,,,,,,
-8510523.0,11.467933654785156,25.645051956176758,-25.645051956176758,-8510523.0,11.467933654785156,25.645051956176758,-25.645051956176758,,,47,335,,,,,,,,,,,
-8510521.0,15.139579772949219,25.563058853149414,-25.563058853149414,-8510521.0,15.139579772949219,25.563058853149414,-25.563058853149414,,,48,342,,,,,,,,,,,
,,17.357707977294922,-17.357707977294922,,,,,,,49,349,,,,,,,,,23.87911033630371,,
-8510521.0,12.030601501464844,25.541759490966797,-25.541759490966797,-8510521.0,12.030601501464844,25.541759490966797,-25.541759490966797,,,49,349,,,,,,,,,,,
-8510522.0,11.038780212402344,25.551130294799805,-25.551130294799805,-8510522.0,11.038780212402344,25.551130294799805,-25.551130294799805,0.0,0.0,50,356,,,,,,,,,,,
-8510520.0,15.120506286621094,25.38884735107422,-25.38884735107422,-8510520.0,15.120506286621094,25.38884735107422,-25.38884735107422,,,51,363,188.95864868164062,0.003990292549133301,-7898096.5,-612425.625,188.95864868164062,0.003990292549133301,-7898096.5,-612425.625,,,
-8510521.0,14.138221740722656,25.024415969848633,-25.024415969848633,-8510521.0,14.138221740722656,25.024415969848633,-25.024415969848633,,,52,370,,,,,,,,,,,
-8510521.0,12.989044189453125,24.949312210083008,-24.949312210083008,-8510521.0,12.989044189453125,24.949312210083008,-24.949312210083008,,,53,377,,,,,,,,,,,
-8510521.0,13.341904640197754,25.030447006225586,-25.030447006225586,-8510521.0,13.341903686523438,25.030447006225586,-25.030447006225586,,,54,384,,,,,,,,,,,
-8510522.0,15.44952392578125,25.040576934814453,-25.040576934814453,-8510522.0,15.44952392578125,25.040576934814453,-25.040576934814453,0.0,0.0,55,391,,,,,,,,,,,
-8510522.0,12.879371643066406,24.701416015625,-24.701416015625,-8510522.0,12.879371643066406,24.701416015625,-24.701416015625,,,56,398,,,,,,,,,,,
,,14.796158790588379,-14.796158790588379,,,,,,,57,399,,,,,,,,,9.685754776000977,,
-8510522.0,10.900498390197754,24.439369201660156,-24.439369201660156,-8510522.0,10.900497436523438,24.439369201660156,-24.439369201660156,,,57,405,,,,,,,,,,,
-8510522.0,12.30001449584961,24.084138870239258,-24.084138870239258,-8510522.0,12.30001449584961,24.084138870239258,-24.084138870239258,,,58,412,,,,,,,,,,,
-8510521.0,16.820430755615234,24.402427673339844,-24.402427673339844,-8510521.0,16.820430755615234,24.402427673339844,-24.402427673339844,,,59,419,,,,,,,,,,,
-8510521.0,11.94000244140625,24.281593322753906,-24.281593322753906,-8510521.0,11.94000244140625,24.281593322753906,-24.281593322753906,0.0,0.0,60,426,,,,,,,,,,,
-8510523.0,10.35928726196289,24.524709701538086,-24.524709701538086,-8510523.0,10.35928726196289,24.524709701538086,-24.524709701538086,,,61,433,189.04685974121094,0.0007040500640869141,-7769002.0,-741520.5,189.04685974121094,0.0007040500640869141,-7769002.0,-741520.5,,,
-8510522.0,11.07931137084961,23.944440841674805,-23.944440841674805,-8510522.0,11.07931137084961,23.944440841674805,-23.944440841674805,,,62,440,,,,,,,,,,,
